,Date,Open,High,Low,Close,Volume,SMA,TENKAN,KIJUN,senkou_span_a,SENKOU,CHIKOU,RSI,EMA
2556,20171225,62.8099,64.4628,62.6446,64.4628,1399540,60.46830833333326,61.198350000000005,62.23145,53.16115,49.400850000000005,72.0661,67.6300099844264,61.43335289138365
2557,20171226,64.7107,65.2892,64.2975,64.4628,2308080,60.81265833333327,61.611549999999994,62.23145,55.3926,51.17775,67.0248,67.6300099844264,62.039242313106925
2558,20171227,64.4628,65.2892,63.3884,63.8017,2925370,61.170791666666595,61.611549999999994,61.3636,58.1612,53.367850000000004,67.0248,64.29510626136066,62.39173385048555
2559,20171228,64.0496,64.8761,63.967,63.9669,1109290,61.59778333333327,62.1487,61.3636,58.1612,53.367850000000004,66.9421,64.7627056902065,62.706767080388445
2560,20171229,64.1322,66.033,63.6363,63.8843,2105550,61.96279999999994,62.93385,61.5289,58.161225,53.367850000000004,65.2893,64.30920904057218,62.94227366431077
2561,20180102,64.1322,64.876,63.9669,64.6281,1435130,62.389799999999944,62.93385,61.5289,58.574425000000005,53.367850000000004,64.6281,66.57872343985942,63.279438931448624
2562,20180103,65.7025,68.7603,64.9587,66.5289,5014340,63.09916666666661,64.54545,62.89255,58.574425000000005,53.57445,69.0909,71.55639601555936,63.929331145158905
2563,20180104,67.3553,68.6777,66.5289,66.9421,2937490,63.581258333333274,64.71075,62.89255,58.719075000000004,53.57445,71.157,72.51471930203402,64.53188491612713
2564,20180105,66.9421,66.9421,65.2892,66.1157,2825160,64.0289166666666,65.70245,62.89255,59.111625000000004,53.57445,74.3802,67.60853748856425,64.8486479329017
2565,20180108,66.1157,67.6859,65.3719,66.3636,3978990,64.49723333333328,66.07435,62.89255,59.4422,53.57445,74.7934,68.30137094200995,65.15163834632136
